鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
仁武區,房地(土地+建物),高雄市仁武區澄合街５８０之２號,85.2,住,,,1080413,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070724.0,187.14,4,2,3,有,無,11200000,59848.0,,0.0,0,,RPPNMLPKNHOFFIE88CA,174.1,13.04,0.0,,,3.0
仁武區,房地(土地+建物),高雄市仁武區德榮街７１號,95.16,住,,,1080408,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1071207.0,206.83,5,2,5,有,無,14250000,68897.0,,0.0,0,,RPTNMLPKNHOFFIE66CA,188.76,18.07,0.0,,,4.0
大社區,房地(土地+建物),高雄市大社區信義路４０號,119.0,住,,,1080312,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,700114.0,102.96,5,2,2,有,無,8020000,77894.0,,0.0,0,,RPOOMLOLNHOFFIE88CA,102.96,0.0,0.0,,,2.0
仁武區,房地(土地+建物),高雄市仁武區八德南路１００巷１０弄１８號,140.75,住,,,1080319,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,690605.0,86.8,4,2,2,有,無,11500000,132488.0,,0.0,0,,RPVOMLNLNHOFFIE86CA,86.8,0.0,0.0,,,2.0
鳥松區,房地(土地+建物),高雄市鳥松區美山路７０巷１０之３號,27.78,農,,,1080412,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710210.0,61.0,3,2,1,有,無,1000000,16393.0,,0.0,0,,RPOQMLLLNHOFFIE78CA,61.0,0.0,0.0,,,5.0
大社區,房地(土地+建物),高雄市大社區大吉路１８６巷２０號六樓,41.23,住,,,1080401,土地1建物1車位0,六層，七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830330.0,207.92,8,2,4,有,無,4520000,21739.0,,0.0,0,,RPVOMLRKNHOFFIE17CA,133.46,24.96,0.0,,,7.0
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海中街２３號十樓,24.23,住,,,1080410,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071116.0,180.92,3,2,2,有,有,7820000,47694.0,坡道平面,34.78,850000,,RPSNMLKLNHOFFIE78CA,89.83,9.49,0.0,,,14.0
鳥松區,房地(土地+建物),高雄市鳥松區大埤路２９之２９０號291號等2戶三樓,30.48,其他,,,1080218,土地1建物2車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700610.0,97.36,2,2,1,有,無,2150000,22083.0,,0.0,0,共2戶,RPSNMLKKNHOFFIE68CA,50.7,10.32,0.0,,,10.0
鳥松區,房地(土地+建物),高雄市鳥松區明湖路８１之３號四樓之１,13.57,住,,,1080416,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850829.0,40.72,1,1,1,有,有,2800000,68762.0,,0.0,0,,RPRNMLQJNHOFFIE09CA,23.83,3.54,0.0,,,10.0
大社區,房地(土地+建物)+車位,高雄市大社區三民路６２巷１８９號六樓,23.36,住,,,1080407,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,870522.0,126.48,3,2,2,有,有,3700000,29254.0,坡道機械,0.0,0,,RPVOMLNJNHOFFIE66CA,77.05,8.19,0.0,,,7.0
仁武區,房地(土地+建物),高雄市仁武區仁慈八街１９巷１０號,103.57,住,,,1080329,土地2建物1車位0,全,五層,透天厝,見使用執照,鋼筋混凝土造,890601.0,234.39,4,2,3,有,無,7500000,31998.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLMJNHOFFIE68CA,190.95,43.44,0.0,,,5.0
仁武區,房地(土地+建物),高雄市仁武區澄觀路１３９６之５號,70.48,住,,,1080418,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070904.0,192.0,5,2,4,有,無,12500000,65104.0,,0.0,0,,RPSNMLMJNHOFFIE78CA,180.56,11.44,0.0,,,4.0
