鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
中和區,房地(土地+建物)+車位,新北市中和區中和路２３７號三樓,10.1,商,,,1070610,土地3建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,117.47,3,2,2,有,有,15500000,138889.0,坡道機械,14.51,1200000,,RPRPMLPKMHOFFHF56CA,60.24,3.47,7.4,,,13.0
中和區,房地(土地+建物)+車位,新北市中和區中和路２３５號十二樓,9.87,商,,,1061120,土地3建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,115.35,2,2,2,有,有,16000000,151726.0,坡道機械,14.51,700000,,RPSPMLPKMHOFFHF66CA,60.3,2.98,7.46,,,13.0
中和區,房地(土地+建物),新北市中和區中和路２３７之１號三樓,6.28,商,,,1040721,土地3建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,65.85,2,2,1,有,有,11000000,167046.0,,0.0,0,,RPUPMLPKMHOFFHF86CA,41.72,0.0,3.92,,,13.0
中和區,房地(土地+建物)+車位,新北市中和區中和路２３７號五樓,10.1,商,,,1051117,土地3建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,117.47,3,2,2,有,有,15250000,138403.0,坡道機械,14.51,1000000,107.12.18取得使用執照107.1.3讓渡轉讓所有權人共2人持分各1/2,RPXPMLPKMHOFFHF17CA,60.24,3.47,7.4,,,13.0
中和區,房地(土地+建物)+車位,新北市中和區中和路２３７之１號四樓,6.51,商,,,1051015,土地3建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,81.94,2,2,1,有,有,10500000,143853.0,坡道機械,14.51,800000,107.12.18取得使用執照107.10.29讓渡轉讓,RPOQMLPKMHOFFHF98CA,41.72,1.11,3.92,,,13.0
中和區,房地(土地+建物),新北市中和區忠孝街１８０號二樓,9.49,住,,,1080220,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760919.0,35.23,3,2,2,有,有,3200000,90832.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPROMLKKMHOFFHF58CA,27.37,0.0,3.41,,,5.0
中和區,房地(土地+建物),新北市中和區中興街２６６巷１１號,34.16,住,,,1080311,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,800906.0,111.37,2,2,2,有,有,7800000,70037.0,,0.0,0,急買急賣。；,RPQPMLKKMHOFFHF58CA,97.91,12.25,0.0,,,5.0
中和區,房地(土地+建物),新北市中和區中山路二段３３２巷７５號六樓,15.36,工,,,1080225,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060118.0,119.33,0,0,0,無,有,13450000,112713.0,,0.0,0,,RPQNMLMKMHOFFHF58CA,64.94,4.65,4.99,,,11.0
中和區,房地(土地+建物),新北市中和區中山路二段１５６號六樓之２,5.72,商,,,1080319,土地2建物1車位0,六層,十三層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1061026.0,55.53,1,2,2,有,無,8680000,156312.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPTQMLLKMHOFFHF09CA,28.39,1.73,2.56,,,13.0
中和區,房地(土地+建物),新北市中和區中山路二段１５６號七樓之２,5.72,商,,,1080319,土地2建物1車位0,七層,十三層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1061026.0,55.53,1,2,1,有,無,8580000,154511.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPVQMLLKMHOFFHF66CA,28.39,1.73,2.56,,,13.0
